time,x,y,z
12.912,-0.02,0.04,-0.02
12.932,-0.03,0.04,-0.03
12.953,-0.04,0.04,-0.06
12.972,-0.03,0.07,-0.06
12.992,-0.04,0.04,-0.05
13.013,-0.01,0.04,-0.05
13.032,-0.03,0.05,-0.06
13.053,-0.02,0.04,-0.05
13.072,-0.01,0.05,-0.04
13.092,-0.03,0.04,-0.07
13.112,-0.03,0.05,-0.05
13.132,-0.02,0.05,-0.06
13.152,-0.04,0.06,-0.05
13.172,-0.00,0.06,-0.04
13.195,-0.03,0.06,-0.06
13.212,-0.02,0.05,-0.04
13.232,-0.03,0.06,-0.05
13.253,-0.03,0.05,-0.04
13.273,-0.02,0.05,-0.06
13.296,-0.02,0.02,-0.05
13.317,-0.02,0.05,-0.05
13.333,-0.01,0.05,-0.06
13.353,-0.02,0.05,-0.05
13.373,-0.04,0.04,-0.04
13.395,-0.02,0.05,-0.03
13.414,-0.03,0.04,-0.06
13.433,-0.02,0.04,-0.06
13.453,-0.02,0.04,-0.03
13.473,-0.02,0.05,-0.06
13.494,-0.02,0.06,-0.05
13.514,-0.02,0.03,-0.04
13.533,-0.03,0.06,-0.05
13.553,-0.02,0.04,-0.04
13.573,-0.01,0.04,-0.05
13.594,-0.03,0.04,-0.05
13.614,-0.02,0.04,-0.05
13.634,-0.02,0.05,-0.07
13.653,-0.02,0.06,-0.05
13.674,-0.01,0.04,-0.04
13.694,-0.02,0.05,-0.06
13.714,-0.02,0.05,-0.04
13.734,-0.03,0.05,-0.04
13.754,-0.02,0.06,-0.04
13.773,-0.03,0.03,-0.05
13.794,-0.01,0.04,-0.04
13.815,-0.01,0.04,-0.04
13.834,-0.02,0.05,-0.05
13.854,-0.01,0.03,-0.04
13.874,-0.01,0.04,-0.05
13.894,0.01,0.05,-0.05
13.915,-0.03,0.03,-0.07
13.934,-0.01,0.04,-0.05
13.954,0.00,0.04,-0.05
13.974,-0.03,0.02,-0.05
13.994,-0.03,0.03,-0.06
14.014,-0.04,0.02,-0.05
14.034,-0.03,0.04,-0.03
14.055,-0.04,0.01,-0.06
14.074,-0.05,0.05,-0.08
14.094,0.04,0.17,-0.03
14.114,0.08,0.20,-0.05
14.135,-0.04,-0.00,-0.06
14.154,-0.06,-0.09,-0.03
14.175,-0.02,-0.04,-0.03
14.194,0.01,0.05,-0.03
14.215,-0.02,0.09,-0.08
14.235,-0.05,0.08,-0.05
14.255,-0.02,0.09,-0.03
14.275,-0.03,0.04,-0.03
14.295,0.02,0.06,-0.03
14.316,0.02,0.03,-0.07
14.335,0.03,0.00,-0.06
14.355,-0.11,-0.08,-0.06
14.375,-0.05,0.00,-0.01
14.395,-0.01,0.12,-0.04
14.415,0.01,0.13,-0.05
14.435,-0.03,0.01,-0.04
14.455,-0.06,-0.02,-0.06
14.474,-0.03,0.01,-0.01
14.495,0.02,0.02,-0.02
14.515,0.01,0.04,-0.08
14.535,0.01,0.06,-0.07
